locus_tag	Control1	Control2	Control3	Treatment1	Treatment2	Treatment3
gene0522	0	0	0	1	0	0
gene0523	0	1	1	0	0	0
gene0524	2	0	3	1	2	1
gene0525	1	3	1	0	2	4
gene0526	0	0	0	1	2	1
gene0527	2	5	5	6	10	7
gene0528	2	6	4	4	4	3
gene0529	5	3	3	2	3	4
gene0530	1	6	2	0	2	7
gene0531	1	2	1	0	0	1
gene0532	1	0	2	4	3	3
gene0533	4	2	4	9	8	11
gene0534	2	8	5	6	4	6
gene0535	2	7	1	4	3	3
gene0536	10	18	11	17	4	29
gene0537	13	24	11	17	6	31
gene0538	1	0	1	3	5	9
gene0539	0	1	1	0	0	1
gene0540	0	1	0	1	0	4
gene0541	0	4	4	9	6	15
gene0542	3	5	3	5	7	12
gene0543	5	6	3	3	3	4
gene0544	3	5	5	5	4	10
gene0545	3	3	10	9	2	9
gene0546	17	47	30	69	112	135
gene0547	7	12	13	69	103	85
gene0548	14	35	30	51	84	97
gene0549	1	2	1	10	7	6
gene0550	0	2	1	3	2	10
gene0551	3	8	12	14	15	27
gene0552	9	25	11	28	46	53
gene0553	6	6	1	4	17	15
gene0554	4	11	6	19	14	31
gene0555	23	80	41	64	65	112
gene0556	1	0	2	1	0	7
gene0557	0	1	2	5	4	2
gene0558	3	3	0	2	3	5
gene0559	4	5	4	6	18	11
gene0560	1	3	0	4	3	4
gene0561	1	3	1	7	7	9
gene0562	1	0	2	0	3	1
gene0563	4	13	12	26	31	25
gene0564	0	2	3	5	1	11
gene0565	2	5	2	2	0	0
gene0566	0	1	1	5	1	6
gene0567	2	2	1	4	2	5
gene0568	1	4	1	1	0	7
gene0569	1	0	2	0	1	2
gene0570	0	2	0	0	1	0
gene0571	2	1	1	3	2	2
gene0572	2	9	6	5	5	13
gene0573	1	0	0	1	3	2
gene0574	2	4	6	8	8	15
gene0575	12	8	14	15	5	22
gene0576	52	119	112	190	237	300
gene0577	10	21	20	20	27	46
gene0578	17	11	9	14	19	26
gene0579	56	65	70	170	361	421
gene0580	14	14	22	18	34	42
gene0581	4	5	13	16	14	22
gene0582	0	6	4	7	5	9
gene0583	3	3	2	10	8	9
gene0584	3	6	2	5	5	9
gene0585	0	1	0	0	0	1
gene0586	15	31	24	19	14	28
gene0587	10	29	24	16	23	21
gene0588	86	154	154	90	54	156
gene0589	2	3	2	4	0	2
gene0590	5	2	3	7	6	11
gene0591	0	4	4	2	1	4
gene0592	2	4	5	11	10	14
gene0593	0	3	5	7	9	10
gene0594	13	17	17	23	33	45
gene0595	57	84	91	108	193	275
gene0596	5	6	10	15	10	17
gene0597	2	4	2	4	3	6
gene0598	3	4	2	6	3	8
gene0599	5	8	1	4	6	9
gene0600	9	10	12	16	9	12
gene0601	7	9	3	6	3	11
gene0602	3	5	7	2	9	9
gene0603	5	7	13	13	27	25
gene0604	4	13	15	13	18	31
gene0605	11	4	18	8	4	15
gene0606	8	8	10	6	5	8
gene0607	4	12	13	8	16	16
gene0608	4	7	5	4	16	15
gene0609	16	25	35	29	40	41
gene0610	62	77	90	46	50	63
gene0611	6	6	19	6	17	24
gene0612	28	33	57	15	24	29
gene0613	46	101	108	45	35	47
gene0614	92	72	95	42	40	48
gene0615	224	289	324	123	137	165
gene0616	306	437	390	182	173	216
gene0617	243	326	327	117	144	140
gene0618	423	578	541	195	223	238
gene0619	357	546	507	201	269	283
gene0620	1308	1898	1904	646	838	847
gene0621	279	404	463	124	161	173
gene0622	1398	2304	2143	779	852	976
gene0623	531	906	855	289	334	394
gene0624	350	636	522	204	230	277
gene0625	1248	2147	1943	814	910	1092
gene0626	318	470	417	163	206	245
gene0627	64	101	88	36	52	48
gene0628	436	800	709	319	317	346
gene0629	151	237	255	92	122	158
gene0630	60	75	66	39	39	57
gene0631	42	54	56	16	27	48
gene0632	53	89	78	29	31	46
gene0633	332	539	484	180	269	237
gene0634	173	304	265	109	168	158
gene0635	130	209	189	78	90	95
gene0636	656	1137	953	395	462	565
gene0637	102	175	134	53	90	76
gene0638	216	387	329	126	165	177
gene0639	194	324	272	128	145	174
gene0640	233	412	376	156	167	204
gene0641	933	1671	1404	527	698	794
gene0642	170	243	268	74	95	91
gene0643	249	404	397	104	152	149
gene0644	72	105	85	30	50	39
gene0645	58	99	102	26	31	32
gene0646	201	373	326	95	119	141
gene0647	45	85	71	23	40	36
gene0648	33	50	56	16	14	34
gene0649	11	20	19	12	30	22
gene0650	24	41	26	16	33	40
gene0651	13	22	15	22	26	26
gene0652	11	23	28	27	42	46
gene0653	2	8	5	12	11	12
gene0654	19	32	31	35	46	55
gene0655	8	11	10	14	23	29
gene0656	3	3	3	4	8	7
gene0657	5	11	11	10	7	22
gene0658	6	5	8	15	7	17
gene0659	8	21	13	19	16	29
gene0660	4	23	13	10	19	22
gene0661	5	1	5	5	5	13
gene0662	11	19	15	18	33	40
gene0663	3	17	5	9	20	22
gene0664	1	6	4	5	7	14
gene0665	6	18	19	29	44	38
gene0666	10	11	8	22	20	21
gene0667	16	45	39	55	61	111
gene0668	16	43	42	64	113	115
gene0669	6	9	9	12	6	12
gene0670	0	3	2	5	0	4
gene0671	3	1	3	2	4	10
gene0672	5	10	9	8	5	22
gene0673	1	3	3	0	0	5
gene0674	4	1	1	3	3	5
gene0675	1	1	1	2	1	4
gene0676	3	4	4	2	3	7
gene0677	0	1	0	0	0	3
gene0678	1	0	0	1	0	0
gene0679	0	3	0	1	0	2
gene0680	1	0	0	2	0	3
gene0681	0	1	0	5	0	2
gene0682	0	0	1	0	1	2
gene0683	1	1	1	0	0	2
gene0684	0	0	0	1	0	0
gene0685	2	2	1	1	2	7
gene0686	0	3	2	2	0	3
gene0687	1	2	0	1	0	5
gene0688	7	6	7	6	6	18
gene0689	2	5	4	14	15	20
gene0690	13	36	30	28	31	43
gene0691	3	2	6	2	3	4
gene0692	1	6	2	1	0	2
gene0693	1	1	0	1	0	3
gene0694	0	0	2	0	0	1
gene0695	1	1	0	1	0	1
gene0696	1	5	0	2	2	8
gene0697	2	2	1	0	0	0
gene0698	0	1	0	0	1	0
gene0699	0	4	1	0	0	0
gene0700	0	1	0	0	0	0
gene0701	1	1	0	0	0	3
gene0702	0	4	3	1	0	1
gene0703	0	1	2	2	2	5
gene0704	2	3	3	7	6	6
gene0705	3	8	6	12	13	16
gene0706	2	1	7	7	4	8
gene0707	0	3	2	4	2	5
gene0708	2	1	0	2	1	1
gene0709	2	1	0	1	1	2
gene0710	0	1	0	0	1	1
gene0711	0	0	0	0	0	2
gene0712	2	2	0	4	9	5
gene0713	0	0	1	1	2	0
gene0714	5	0	1	3	0	0
gene0715	7	15	24	57	92	114
gene0716	7	11	11	44	70	112
gene0717	1	5	4	2	3	4
gene0718	0	2	4	2	1	7
gene0719	2	5	2	4	3	7
gene0720	5	7	0	1	1	5
gene0721	0	2	2	2	2	0
gene0722	2	5	5	0	3	3
gene0723	9	11	6	11	0	20
gene0724	2	1	3	4	3	5
gene0725	0	1	1	0	0	4
gene0726	1	4	2	1	1	3
gene0727	1	3	0	5	2	5
gene0728	1	2	1	3	1	3
gene0729	15	14	20	25	47	56
gene0730	3	12	12	17	10	21
gene0731	5	7	6	6	3	8
gene0732	3	6	8	11	8	15
gene0733	0	3	0	3	4	7
gene0734	1	0	0	2	3	6
gene0735	1	4	1	4	1	4
gene0736	3	4	7	9	3	7
gene0737	6	8	7	5	4	15
gene0738	0	2	0	3	0	1
gene0739	2	2	3	2	1	2
gene0740	1	4	0	5	1	10
gene0741	0	0	1	1	0	2
gene0742	1	1	0	1	1	2
gene0743	0	1	4	3	3	9
gene0744	4	2	3	4	3	9
gene0745	4	7	4	4	4	4
gene0746	6	6	8	2	1	7
gene0747	5	22	10	12	6	21
gene0749	1	8	5	7	6	6
gene0750	4	8	9	7	8	15
gene0751	1	5	3	3	7	5
gene0752	2	2	1	1	5	8
gene0753	0	2	0	0	0	1
gene0754	1	3	1	0	1	3
gene0755	0	5	1	3	4	6
gene0756	0	3	4	4	4	6
gene0757	1	6	3	4	3	16
gene0758	8	14	9	16	9	20
gene0759	5	2	5	5	4	9
gene0760	5	6	9	13	15	28
gene0761	18	21	21	38	38	51
gene0762	118	176	191	232	173	387
gene0763	108	158	144	142	103	213
gene0764	19	36	23	57	48	108
gene0765	5	11	5	10	8	27
gene0766	23	43	48	85	91	139
gene0767	31	53	39	69	82	131
gene0768	9	12	7	24	44	48
gene0769	6	4	5	15	13	18
gene0770	5	1	9	13	15	26
gene0771	3	9	7	21	25	26
gene0772	1	0	3	2	3	4
gene0773	3	0	2	8	11	21
